window_id,scenario,seed,n,attack_fraction,novel_replacement,drift_share,uncorrected_drift_share,mean_ks,max_ks,macro_f1,attack_recall,benign_fpr,roc_auc,tn,fp,fn,tp,n_BENIGN,recall_BENIGN,n_DDoS,recall_DDoS,n_PortScan,recall_PortScan,n_BruteForce,recall_BruteForce,n_WebAttacks,recall_WebAttacks
S1_a50_n500_s1024,S1_a50,1024,500,0.5,0.0,0.75,0.75,0.0958192307692308,0.18220000000000003,1.0,1.0,0.0,0.9999999999999999,250,0,0,250,250,1.0,250,1.0,0,,0,,0,
S1_a50_n1000_s42,S1_a50,42,1000,0.5,0.0,0.8076923076923077,0.8269230769230769,0.10229615384615384,0.15719999999999995,1.0,1.0,0.0,1.0,500,0,0,500,500,1.0,500,1.0,0,,0,,0,
S1_a50_n1000_s123,S1_a50,123,1000,0.5,0.0,0.9230769230769231,0.9230769230769231,0.09616153846153844,0.1452,1.0,1.0,0.0,1.0,500,0,0,500,500,1.0,500,1.0,0,,0,,0,
S1_a50_n1000_s456,S1_a50,456,1000,0.5,0.0,0.8076923076923077,0.8269230769230769,0.09516923076923077,0.16719999999999996,1.0,1.0,0.0,1.0,500,0,0,500,500,1.0,500,1.0,0,,0,,0,
S1_a50_n1000_s789,S1_a50,789,1000,0.5,0.0,0.9423076923076923,0.9423076923076923,0.09466923076923076,0.1432,1.0,1.0,0.0,1.0,500,0,0,500,500,1.0,500,1.0,0,,0,,0,
S1_a50_n1000_s1024,S1_a50,1024,1000,0.5,0.0,0.7692307692307693,0.7884615384615384,0.08976153846153848,0.16440000000000005,1.0,1.0,0.0,1.0,500,0,0,500,500,1.0,500,1.0,0,,0,,0,
S1_a85_n500_s42,S1_a85,42,500,0.85,0.0,0.9807692307692307,0.9807692307692307,0.2667884615384616,0.4162,1.0,1.0,0.0,1.0,75,0,0,425,75,1.0,425,1.0,0,,0,,0,
S1_a85_n500_s123,S1_a85,123,500,0.85,0.0,0.9807692307692307,0.9807692307692307,0.24887692307692313,0.41640000000000005,1.0,1.0,0.0,1.0,75,0,0,425,75,1.0,425,1.0,0,,0,,0,
S1_a85_n500_s456,S1_a85,456,500,0.85,0.0,0.9807692307692307,0.9807692307692307,0.2537038461538461,0.4022,1.0,1.0,0.0,1.0,75,0,0,425,75,1.0,425,1.0,0,,0,,0,
S1_a85_n500_s789,S1_a85,789,500,0.85,0.0,0.9807692307692307,0.9807692307692307,0.2585692307692308,0.4072,1.0,1.0,0.0,1.0,75,0,0,425,75,1.0,425,1.0,0,,0,,0,
S1_a85_n500_s1024,S1_a85,1024,500,0.85,0.0,0.9807692307692307,0.9807692307692307,0.2535153846153846,0.4122,1.0,1.0,0.0,1.0,75,0,0,425,75,1.0,425,1.0,0,,0,,0,
S1_a85_n1000_s42,S1_a85,42,1000,0.85,0.0,0.9807692307692307,0.9807692307692307,0.25854230769230774,0.4102,1.0,1.0,0.0,1.0,150,0,0,850,150,1.0,850,1.0,0,,0,,0,
S1_a85_n1000_s123,S1_a85,123,1000,0.85,0.0,0.9807692307692307,0.9807692307692307,0.2460884615384616,0.4052,1.0,1.0,0.0,1.0,150,0,0,850,150,1.0,850,1.0,0,,0,,0,
S1_a85_n1000_s456,S1_a85,456,1000,0.85,0.0,0.9807692307692307,0.9807692307692307,0.25846923076923084,0.4022,1.0,1.0,0.0,1.0,150,0,0,850,150,1.0,850,1.0,0,,0,,0,
S1_a85_n1000_s789,S1_a85,789,1000,0.85,0.0,0.9807692307692307,0.9807692307692307,0.25918461538461535,0.4152,0.9980445796726235,0.9988235294117647,0.0,0.9999999999999999,150,0,1,849,150,1.0,850,0.9988235294117647,0,,0,,0,
S1_a85_n1000_s1024,S1_a85,1024,1000,0.85,0.0,0.9807692307692307,0.9807692307692307,0.2503230769230769,0.4212,0.9980338144589352,1.0,0.006666666666666667,1.0,149,1,0,850,150,0.9933333333333333,850,1.0,0,,0,,0,
S2_r25_n500_s42,S2_r25,42,500,0.3,0.25,0.0,0.07692307692307693,0.04590384615384616,0.07879999999999998,0.9045560307690721,0.7533333333333333,0.0,0.9228571428571428,350,0,37,113,350,1.0,112,1.0,13,0.0,13,0.07692307692307693,12,0.0
S2_r25_n500_s123,S2_r25,123,500,0.3,0.25,0.3076923076923077,0.40384615384615385,0.05589615384615386,0.0948,0.9073616600790514,0.76,0.0,0.9241904761904762,350,0,36,114,350,1.0,112,1.0,13,0.0,13,0.15384615384615385,12,0.0
S2_r25_n500_s456,S2_r25,456,500,0.3,0.25,0.0,0.23076923076923078,0.0482923076923077,0.08879999999999999,0.9045560307690721,0.7533333333333333,0.0,0.9279714285714287,350,0,37,113,350,1.0,112,1.0,13,0.0,13,0.07692307692307693,12,0.0
S2_r25_n500_s789,S2_r25,789,500,0.3,0.25,0.0,0.057692307692307696,0.044776923076923075,0.07479999999999998,0.9017356585779599,0.7466666666666667,0.0,0.928495238095238,350,0,38,112,350,1.0,112,1.0,13,0.0,13,0.0,12,0.0
S2_r25_n500_s1024,S2_r25,1024,500,0.3,0.25,0.019230769230769232,0.3076923076923077,0.04940769230769231,0.1047999999999999,0.9017356585779599,0.7466666666666667,0.0,0.9350285714285713,350,0,38,112,350,1.0,112,1.0,13,0.0,13,0.0,12,0.0
S2_r25_n1000_s42,S2_r25,42,1000,0.3,0.25,0.21153846153846154,0.3076923076923077,0.042869230769230764,0.07379999999999998,0.9031476997578692,0.75,0.0,0.9336571428571429,700,0,75,225,700,1.0,225,1.0,25,0.0,25,0.0,25,0.0
S2_r25_n1000_s123,S2_r25,123,1000,0.3,0.25,0.019230769230769232,0.3076923076923077,0.03980384615384617,0.07079999999999997,0.9045560307690721,0.7533333333333333,0.0,0.928947619047619,700,0,74,226,700,1.0,225,1.0,25,0.0,25,0.04,25,0.0
